Envelop	Sr. No	Fields	Values	Is Lookup	Used	Mapping
	71	SourceDocumentLine	5637146088			
	72	StatProcId				
	73	TaxGroup				
	74	TransactionCode				
	75	Transport				
	76	URL				
	77	VATNum				
	78	VendGroup	10			
	79	VendorRef				
	80	VersionDateTime	2015-03-17T08:01:54Z			
	81	WorkerPurchPlacer	22565420973			
"PurchTableHistoryAddress
(OP Purchaser Address)"	1	_RecId_LogisticsPostalAddress	52565469633			
	2	Address	"123 Coffee Street,Suite 300,Redmond,WA 98052 ,USA"			
	3	Apartment_RU				
	4	Building_RU				
	5	BuildingCompliment				
	6	City	Redmond			
	7	CountryCurrencyCode				
	8	CountryRegionId	USA			
	9	County	KING			
	10	DistrictName				
	11	ISOcode	US			
	12	IsPrivate	No			
	13	Location	000000034			
	14	LocationName	Contoso Entertainment System USA			
	15	PostalAddress	52565469633			
	16	PostalAddressRecId	52565469633			
	17	PostBox				
	18	PrivateForParty				
	19	RecId	52565469633			
	20	State	WA			
	21	Street	"123 Coffee Street,Suite 300"			
	22	StreetNumber				
	23	TimeZone				
	24	ValidFrom	2014-07-12T01:17:30Z			
	25	ValidTo	2154-12-31T23:59:59Z			
	26	ZipCode	98052			
"PurchLineAllVersions
(PO Detail Line)"	1	ActivityNumber				
	2	AddressRefRecId	22565421676			
	3	AddressRefTableId	6064			
	4	AssetBookId				
	5	AssetGroup				
	6	AssetId				
	7	AssetTransTypePurch	Acquisition			
	8	BarCode				
	9	BarCodeType				
	10	Blocked	No			
	11	CaseTagging	No			
	12	Complete	No			
	13	ConfirmedTaxWriteCode				
	14	CountyOrigDest				
	15	CovRef	None			
	16	CreateFixedAsset	No			
	17	CurrencyCode	USD			
	18	CustomerRef				
	19	CustPurchaseOrderFormNum				
	20	DeliveryDate	2015-03-17			
	21	DeliveryName	Site 1			
	22	DeliveryPostalAddress	22565424050			
	23	DeliveryType	None			
	24	ExternalItemId				
	25	GSTHSTTaxType_CA	None			
	26	InterCompanyInventTransId				
	27	InterCompanyOrigin	Source			
	28	InventDimId	000252			
	29	InventRefId				
	30	InventRefTransId				
	31	InventTransId	012911			
	32	IsFinalized	No			
	33	ItemBOMId				
	34	ItemId	C0001			
	35	ItemPBAId				
	36	ItemRefType	None			
	37	ItemRouteId				
	38	ItemTagging	No			
	39	LedgerDimension				
	40	LineAmount	39.95			
	41	LineDeliveryType	OrderLine			
	42	LineHeader				
	43	LineNumber	1			
	44	MatchingPolicy	NoMatch			
	45	Name	Microsoft Natural Keyboard Elite			
	46	PalletTagging	No			
	47	Port				
	48	PriceUnit	1.00			
	49	ProcurementCategory	22565423433			
	50	ProjCategoryId				
	51	ProjId				
	52	ProjLinePropertyId				
	53	ProjSalesCurrencyId				
	54	ProjSalesUnitId				
	55	ProjTaxGroupId				
	56	ProjTaxItemGroupId				
	57	ProjTransId				
	58	PurchaseType	Purch			
	59	PurchId	000837			
	60	PurchPrice	39.95			
	61	PurchQty	1.00			
	62	PurchReqId				
	63	PurchReqLineRefId	{00000000-0000-0000-0000-000000000000}			
	64	PurchStatus	Backorder			
	65	PurchTableVersionRecId	35637183643			
	66	PurchUnit	ea			
	67	RecId	5637146081			
	68	RemainPurchPhysical	1.00			
	69	ReqAttention				
	70	ReqPlanIdSched				
	71	ReqPOId				
	72	Requester	22565420976			
	73	ReturnActionId				
	74	ReturnDispositionCodeId				
	75	ReturnStatus	None			
	76	Scrap	No			
	77	SourceDocumentLine	5637146089			
	78	StatProcId				
	79	StatTriangularDeal	No			
	80	StockedProduct	No			
	81	Tax1099State				
	82	TaxAutogenerated	No			
	83	TaxGroup				
	84	TaxItemGroup	ALL			
	85	TaxWithholdGroup_TH				
	86	TransactionCode				
	87	Transport				
	88	VendAccount	000001			
	89	VendGroup	10			
	90	VersionDateTime	2015-03-17T08:01:54Z			
